store_id,store_name,address_line,country,province,city,location,postal_code,latitude,longitude,phone,email,facebook_url,url,full_search_address
1,Food Lover's Market Balfour Park,"Balfour Park Shopping Centre, Balfour Road, Vincent, East London, Eastern Cape, 5217, South Africa",South Africa,Eastern Cape,East London,Balfour Park,5217,-33.0191604,27.8998573,043 727 0060,eastlondon@fnv.co.za,https://www.facebook.com/FoodLoversMarketBalfourPark/,https://foodloversmarket.co.za/stores/eastern-cape/food-lovers-market-balfour-park/,"East London, Eastern Cape, South Africa"
2,Food Lover's Market Jeffreys Bay,"Shop 60, Equinox Mall, Saint Francis Street, Shop no- 60, Equinox Mall, St. Francis Street, Jeffreys Bay, Jeffrey's Bay, Eastern Cape, 6330, South Africa",South Africa,Eastern Cape,Jeffrey's Bay,Jeffreys Bay,6330,-34.0536224,24.9233509,042 293 0369,jbay@fnv.co.za,https://www.facebook.com/FoodLoversMarketJeffreysBay,https://foodloversmarket.co.za/stores/eastern-cape/food-lovers-market-jeffreys-bay/,"Jeffrey's Bay, Eastern Cape, South Africa"
3,Food Lover's Market Moffett Retail Park,"Shop 1, Moffett Retail Park, William Moffett Expy, Moffett, Gqeberha, Eastern Cape, 6001, South Africa",South Africa,Eastern Cape,Gqeberha,Moffett Retail Park,6001,-33.9618598,25.6186731,087 058 0567,care@fnv.co.za,https://facebook.com/FoodLoversMarketMoffettRetailPark/,https://foodloversmarket.co.za/stores/eastern-cape/food-lovers-market-moffett-retail-park/,"Gqeberha, Eastern Cape, South Africa"
4,,,South Africa,,,,,34.220389,70.3800314,,,,,
5,Food Lover's Market Showgate,"Showgate Centre, Curie Avenue, Generaal De Wet, Bloemfontein, Free State, 9301, South Africa",South Africa,Free State,Bloemfontein,Showgate,9301,-29.116395,26.215496,071 849 8137,bloemfontein@fnv.co.za,https://business.facebook.com/FoodLoversMarketShowgate/,https://foodloversmarket.co.za/stores/free-state/food-lovers-market-showgate/,"Bloemfontein, Free State, South Africa"
6,Food Lover's Market Bassonia,"Omni Square, Soetdoring Avenue, Bassonia, Johannesburg South, 2061",South Africa,Gauteng,Johannesburg,Bassonia,2061,-26.205,28.049722,N/A,admin.bassonia@flm.co.za,N/A,https://foodloversmarket.co.za/stores/gauteng/food-lovers-market-bassonia/,"Johannesburg, Gauteng, South Africa"
7,Food Lover's Market Boksburg,"Monte Cristo Boulevard, Beyers Park, Boksburg, Gauteng, 1459, South Africa",South Africa,Gauteng,Boksburg,Boksburg,1459,-26.2124639,28.2617471,087 821 7380,care@fnv.co.za,https://www.facebook.com/FoodLoversMarketBoksburg/,https://foodloversmarket.co.za/stores/gauteng/food-lovers-market-boksburg/,"Boksburg, Gauteng, South Africa"
8,Food Lover's Market Castle Gate,"Shop 7, Castle Gate Lifestyle Shopping Centre, Solomon Mahlangu Drive, Erasmus Park, Pretoria, Gauteng, 0157, South Africa",South Africa,Gauteng,Pretoria,Castle Gate,157,-25.7459277,28.1879101,012 0030 419,care@fnv.co.za,https://www.facebook.com/FoodLoversMarketCastlegateLifestyle/,https://foodloversmarket.co.za/stores/gauteng/food-lovers-market-castle-gate/,"Pretoria, Gauteng, South Africa"
9,Food Lover's Market Comaro Crossing,"Comaro Crossing Shopping Mall, Boundary Road, Oakdene, Johannesburg South, Gauteng, 2190, South Africa",South Africa,Gauteng,Johannesburg,Comaro Crossing,2190,-26.205,28.049722,010 443 8939,comarocrossing@fnv.co.za,https://www.facebook.com/FoodLoversMarketComaroCrossing,https://foodloversmarket.co.za/stores/gauteng/food-lovers-market-comaro-crossing/,"Johannesburg, Gauteng, South Africa"
10,Food Lover's Market Ferndale,"Shop L90, Ferndale on Republic, Republic Road, President Ridge, Randburg, Gauteng, 2194, South Africa",South Africa,Gauteng,Randburg,Ferndale,2194,-26.0913588,28.002109,011 791 9003,care@fnv.co.za,https://www.facebook.com/FoodLoversMarketFerndale,https://foodloversmarket.co.za/stores/gauteng/food-lovers-market-ferndale/,"Randburg, Gauteng, South Africa"
