"product_id","product_name","category","unit_price","launch_date"
1,"Laptop","electronics",1200.0,"2022-01-01"
2,"Mouse","accessories",25.0,"2022-02-15"
3,"Keyboard","peripherals",75.5,"2022-03-10"
4,"Webcam","electronics",49.99,"2022-04-05"
5,"monitor","electronics",300.0,"2022-05-01"
6,"Headphones","accessories",150.0,"2022-06-20"
7,"Printer","electronics",150.0,"2022-06-10"
8,"Speakers","audio",99.0,"2022-07-20"
9,"SSD Drive","storage",80.0,"2022-08-25"
10,"Hard Drive","storage",70.0,"2022-09-30"
11,"USB Drive","storage",15.0,"2022-10-10"
12,"Router","network",60.0,"2022-11-05"
13,"Monitor","electronics",300.0,"2022-12-01"
14,"Mouse","accessories",25.0,"2023-01-15"
15,"Laptop","electronics",1200.0,"2023-02-20"
16,"Mouse","accessories",25.0,"2023-03-01"
17,"Headset","audio",55.0,"2023-04-10"
18,"Webcam","electronics",49.99,"2023-05-05"
19,"Keyboard","peripherals",75.5,"2023-06-25"
20,"Printer","electronics",150.0,"2023-07-10"
21,"Speakers","audio",99.0,"2023-08-01"
22,"SSD Drive","storage",80.0,"2023-09-15"
23,"Hard Drive","storage",600.0,"2023-10-20"
24,"USB Drive","storage",15.0,"2023-11-01"
25,"Router","network",60.0,"2023-12-05"
26,"Monitor","electronics",300.0,"2024-01-01"
27,"Mouse","accessories",25.0,"2024-02-14"
28,"Laptop","electronics",1200.0,"2024-03-20"
29,"Keyboard","peripherals",75.5,"2024-04-25"
30,"Headset","audio",55.0,"2024-05-10"
31,"Webcam","electronics",49.99,"2024-06-01"
32,"Printer","electronics",150.0,"2024-07-05"
33,"Speakers","audio",99.0,"2024-08-12"
34,"SSD Drive","storage",80.0,"2024-09-18"
35,"Hard Drive","storage",70.0,"2024-10-22"
36,"USB Drive","storage",15.0,"2024-11-01"
37,"Router","network",60.0,"2024-12-05"
38,"Monitor","electronics",300.0,"2025-01-10"
39,"Headphones","accessories",50.0,"2025-02-15"
40,"Mouse","accessories",25.0,"2025-03-01"
41,"Laptop","electronics",1200.0,"2025-04-10"
42,"Keyboard","peripherals",75.5,"2025-05-01"
43,"Webcam","electronics",49.99,"2025-06-05"
44,"Printer","electronics",150.0,"2025-07-10"
45,"Speakers","audio",99.0,"2025-08-15"
46,"SSD Drive","storage",80.0,"2025-09-20"
47,"Hard Drive","storage",70.0,"2025-10-25"
48,"USB Drive","storage",15.0,"2025-11-05"
49,"Router","network",60.0,"2025-12-01"
50,"Monitor","electronics",300.0,"2026-01-05"
